_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
3443,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,13,NO,,NO,GILINDO MARCOCCHIO LIMITED,PRIVATE,4356415,NO,NO,NO,173  STEPHEN DR ,YES,UNAVAILABLE,03,DOUBLE PANE,1954.0,2018.0
3444,NONE,,NO,NO,Not Available,YES,Unknown,YES,NO,HOT WATER,NO,NO,NO,NO,NO,,0.0,0.0,3,16,YES,,NO,,PRIVATE,4379646,NO,YES,NO,1212  BLOOR ST W,NO,UNAVAILABLE,09,DOUBLE PANE,1923.0,2018.0
3445,INDIVIDUAL UNITS,"Indoor pool , Sauna",NO,YES,98 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,,,4.0,28,638,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,CRECCAL INVESTMENTS LTD,PRIVATE,4365726,NO,NO,NO,2360  DUNDAS ST W,YES,PAID,04,THERMAL,1976.0,2018.0
3446,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,13,128,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PRINCESS MANAGEMENT,PRIVATE,4232592,NO,YES,NO,53  WARRENDER AVE ,YES,FREE,02,SINGLE PANE,1971.0,2017.0
3447,CENTRAL AIR,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,0.0,0.0,3.0,17,327,NO,Surface Parking,YES,CAPREIT,PRIVATE,4240547,NO,YES,NO,33  ORCHARD VIEW BLVD ,YES,UNAVAILABLE,08,DOUBLE PANE,1976.0,2017.0
3448,NONE,,NO,NO,0 indoor parking spots and 17 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,17,YES,Surface Parking,YES,,PRIVATE,4241532,NO,YES,NO,27  SHERWOOD AVE ,NO,UNAVAILABLE,15,DOUBLE PANE,1940.0,2017.0
3449,INDIVIDUAL UNITS,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,YES,NO,YES,NO,0.0,0.0,0.0,3,20,NO,,YES,ST JUDE COMMUNITY HOMES,SOCIAL HOUSING,4274443,NO,NO,NO,1845  GERRARD ST E,NO,UNAVAILABLE,19,DOUBLE PANE,1950.0,2017.0
3450,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,10,110,,,,,SOCIAL HOUSING,4283407,,,,20  PALACE ST ,,,13,THERMAL,,
3451,NONE,,YES,YES,0 indoor parking spots and 20 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,22.0,0.0,0.0,3,22,YES,Ground Level Garage,YES,,PRIVATE,4269869,NO,YES,NO,110  COTTONWOOD DR ,YES,UNAVAILABLE,16,DOUBLE PANE,1959.0,2017.0
3452,NONE,"Indoor recreation room , Indoor exercise room , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1.0,2.0,2.0,11,185,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",NO,DEL MANAGMENT,TCHC,4285972,NO,NO,NO,4110  LAWRENCE AVE E,YES,PAID,24,SINGLE PANE,1972.0,2017.0
